alpha,threshold,alloc,ret_pct,dd_pct,trades
8,0.685,0.9998,919.690623729,29.82166639674,64
8,0.69,0.995,916.143873729,29.28792614349753,64
8,0.69,0.997,920.442328729,29.28792614349753,64
8,0.69,0.998,880.6619634289999,29.82166639674,64
8,0.69,0.999,919.672328729,29.82166639674,64
8,0.69,0.9998,919.690623729,29.82166639674,64
8,0.695,0.995,916.143873729,29.28792614349753,64
8,0.695,0.997,920.442328729,29.28792614349753,64
8,0.695,0.998,880.6619634289999,29.82166639674,64
8,0.695,0.999,919.672328729,29.82166639674,64
8,0.695,0.9998,919.690623729,29.82166639674,64
8,0.7,0.995,916.143873729,29.28792614349753,64
8,0.7,0.997,920.442328729,29.28792614349753,64
8,0.7,0.998,880.6619634289999,29.82166639674,64
8,0.7,0.999,919.672328729,29.82166639674,64
8,0.7,0.9998,919.690623729,29.82166639674,64
9,0.55,0.995,876.717157659,29.560361217005504,64
9,0.55,0.997,879.381437659,29.617534522600852,64
9,0.55,0.998,874.3006276334575,29.617534522600852,64
9,0.55,0.999,872.7001776334575,29.617534522600852,64
9,0.55,0.9998,873.2983574334576,29.703108810683947,64
9,0.555,0.995,876.717157659,29.560361217005504,64
9,0.555,0.997,879.381437659,29.617534522600852,64
9,0.555,0.998,874.3006276334575,29.617534522600852,64
9,0.555,0.999,872.7001776334575,29.617534522600852,64
9,0.555,0.9998,873.2983574334576,29.703108810683947,64
9,0.56,0.995,876.717157659,29.560361217005504,64
9,0.56,0.997,879.381437659,29.617534522600852,64
9,0.56,0.998,874.3006276334575,29.617534522600852,64
9,0.56,0.999,872.7001776334575,29.617534522600852,64
9,0.56,0.9998,873.2983574334576,29.703108810683947,64
9,0.565,0.995,876.717157659,29.560361217005504,64
9,0.565,0.997,879.381437659,29.617534522600852,64
9,0.565,0.998,874.3006276334575,29.617534522600852,64
9,0.565,0.999,872.7001776334575,29.617534522600852,64
9,0.565,0.9998,873.2983574334576,29.703108810683947,64
9,0.57,0.995,876.717157659,29.560361217005504,64
9,0.57,0.997,879.381437659,29.617534522600852,64
9,0.57,0.998,874.3006276334575,29.617534522600852,64
9,0.57,0.999,872.7001776334575,29.617534522600852,64
9,0.57,0.9998,873.2983574334576,29.703108810683947,64
9,0.575,0.995,876.717157659,29.560361217005504,64
9,0.575,0.997,879.381437659,29.617534522600852,64
9,0.575,0.998,874.3006276334575,29.617534522600852,64
9,0.575,0.999,872.7001776334575,29.617534522600852,64
9,0.575,0.9998,873.2983574334576,29.703108810683947,64
9,0.58,0.995,876.717157659,29.560361217005504,64
9,0.58,0.997,879.381437659,29.617534522600852,64
9,0.58,0.998,874.3006276334575,29.617534522600852,64
9,0.58,0.999,872.7001776334575,29.617534522600852,64
9,0.58,0.9998,873.2983574334576,29.703108810683947,64
9,0.585,0.995,876.717157659,29.560361217005504,64
9,0.585,0.997,879.381437659,29.617534522600852,64
9,0.585,0.998,874.3006276334575,29.617534522600852,64
9,0.585,0.999,872.7001776334575,29.617534522600852,64
9,0.585,0.9998,873.2983574334576,29.703108810683947,64
9,0.59,0.995,876.717157659,29.560361217005504,64
9,0.59,0.997,879.381437659,29.617534522600852,64
9,0.59,0.998,874.3006276334575,29.617534522600852,64
9,0.59,0.999,872.7001776334575,29.617534522600852,64
9,0.59,0.9998,873.2983574334576,29.703108810683947,64
9,0.595,0.995,876.717157659,29.560361217005504,64
9,0.595,0.997,879.381437659,29.617534522600852,64
9,0.595,0.998,874.3006276334575,29.617534522600852,64
9,0.595,0.999,872.7001776334575,29.617534522600852,64
9,0.595,0.9998,873.2983574334576,29.703108810683947,64
9,0.6,0.995,876.717157659,29.560361217005504,64
9,0.6,0.997,879.381437659,29.617534522600852,64
9,0.6,0.998,874.3006276334575,29.617534522600852,64
9,0.6,0.999,872.7001776334575,29.617534522600852,64
9,0.6,0.9998,873.2983574334576,29.703108810683947,64
9,0.605,0.995,876.717157659,29.560361217005504,64
9,0.605,0.997,879.381437659,29.617534522600852,64
9,0.605,0.998,874.3006276334575,29.617534522600852,64
9,0.605,0.999,872.7001776334575,29.617534522600852,64
9,0.605,0.9998,873.2983574334576,29.703108810683947,64
9,0.61,0.995,876.717157659,29.560361217005504,64
9,0.61,0.997,879.381437659,29.617534522600852,64
9,0.61,0.998,874.3006276334575,29.617534522600852,64
9,0.61,0.999,872.7001776334575,29.617534522600852,64
9,0.61,0.9998,873.2983574334576,29.703108810683947,64
9,0.615,0.995,876.717157659,29.560361217005504,64
9,0.615,0.997,879.381437659,29.617534522600852,64
9,0.615,0.998,874.3006276334575,29.617534522600852,64
9,0.615,0.999,872.7001776334575,29.617534522600852,64
9,0.615,0.9998,873.2983574334576,29.703108810683947,64
9,0.62,0.995,876.717157659,29.560361217005504,64
9,0.62,0.997,879.381437659,29.617534522600852,64
