stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,alpha,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades,obj
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.62,0.998,-0.001,0.0265,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.62,0.998,-0.0005,0.0255,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.62,0.998,-0.0005,0.0265,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.62,0.9998,-0.001,0.0255,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.62,0.9998,-0.001,0.0265,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.62,0.9998,-0.0005,0.0255,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.62,0.9998,-0.0005,0.0265,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.64,0.998,-0.001,0.0255,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.64,0.998,-0.001,0.0265,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.64,0.998,-0.0005,0.0255,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.64,0.998,-0.0005,0.0265,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.64,0.9998,-0.001,0.0255,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.64,0.9998,-0.001,0.0265,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.64,0.9998,-0.0005,0.0255,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.64,0.9998,-0.0005,0.0265,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.66,0.998,-0.001,0.0255,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.66,0.998,-0.001,0.0265,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.66,0.998,-0.0005,0.0255,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.66,0.998,-0.0005,0.0265,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.66,0.9998,-0.001,0.0255,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.66,0.9998,-0.001,0.0265,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.66,0.9998,-0.0005,0.0255,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.66,0.9998,-0.0005,0.0265,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.58,0.998,-0.001,0.0255,3031.0355084647726,15.970330460477403,65,3031.0355084647726
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.58,0.998,-0.001,0.0265,3031.0355084647726,15.970330460477403,65,3031.0355084647726
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.58,0.998,-0.0005,0.0255,3031.0355084647726,15.970330460477403,65,3031.0355084647726
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.58,0.998,-0.0005,0.0265,3031.0355084647726,15.970330460477403,65,3031.0355084647726
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.58,0.9998,-0.001,0.0255,3032.330230964772,16.01910595150687,65,3032.330230964772
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.58,0.9998,-0.001,0.0265,3032.330230964772,16.01910595150687,65,3032.330230964772
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.58,0.9998,-0.0005,0.0255,3032.330230964772,16.01910595150687,65,3032.330230964772
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.58,0.9998,-0.0005,0.0265,3032.330230964772,16.01910595150687,65,3032.330230964772
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.6,0.998,-0.001,0.0255,3054.1691471339727,15.970330460477403,64,3054.1691471339727
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.6,0.998,-0.001,0.0265,3054.1691471339727,15.970330460477403,64,3054.1691471339727
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.6,0.998,-0.0005,0.0255,3054.1691471339727,15.970330460477403,64,3054.1691471339727
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.6,0.998,-0.0005,0.0265,3054.1691471339727,15.970330460477403,64,3054.1691471339727
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.6,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.6,0.9998,-0.001,0.0265,3055.384797133972,16.01910595150687,64,3055.384797133972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.6,0.9998,-0.0005,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.6,0.9998,-0.0005,0.0265,3055.384797133972,16.01910595150687,64,3055.384797133972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.62,0.998,-0.001,0.0255,3054.1691471339727,15.970330460477403,64,3054.1691471339727
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.62,0.998,-0.001,0.0265,3054.1691471339727,15.970330460477403,64,3054.1691471339727
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.62,0.998,-0.0005,0.0255,3054.1691471339727,15.970330460477403,64,3054.1691471339727
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.62,0.998,-0.0005,0.0265,3054.1691471339727,15.970330460477403,64,3054.1691471339727
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.62,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.62,0.9998,-0.001,0.0265,3055.384797133972,16.01910595150687,64,3055.384797133972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.62,0.9998,-0.0005,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.62,0.9998,-0.0005,0.0265,3055.384797133972,16.01910595150687,64,3055.384797133972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.64,0.998,-0.001,0.0255,3054.1691471339727,15.970330460477403,64,3054.1691471339727
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.64,0.998,-0.001,0.0265,3054.1691471339727,15.970330460477403,64,3054.1691471339727
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.64,0.998,-0.0005,0.0255,3054.1691471339727,15.970330460477403,64,3054.1691471339727
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.64,0.998,-0.0005,0.0265,3054.1691471339727,15.970330460477403,64,3054.1691471339727
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.64,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.64,0.9998,-0.001,0.0265,3055.384797133972,16.01910595150687,64,3055.384797133972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.64,0.9998,-0.0005,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.64,0.9998,-0.0005,0.0265,3055.384797133972,16.01910595150687,64,3055.384797133972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.66,0.998,-0.001,0.0255,3054.1691471339727,15.970330460477403,64,3054.1691471339727
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.66,0.998,-0.001,0.0265,3054.1691471339727,15.970330460477403,64,3054.1691471339727
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.66,0.998,-0.0005,0.0255,3054.1691471339727,15.970330460477403,64,3054.1691471339727
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.66,0.998,-0.0005,0.0265,3054.1691471339727,15.970330460477403,64,3054.1691471339727
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.66,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.66,0.9998,-0.001,0.0265,3055.384797133972,16.01910595150687,64,3055.384797133972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.66,0.9998,-0.0005,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,15,0.66,0.9998,-0.0005,0.0265,3055.384797133972,16.01910595150687,64,3055.384797133972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.58,0.998,-0.001,0.0255,1624.8460739138277,40.875291598976396,62,-1344.58891796334
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.58,0.998,-0.001,0.0265,1624.8460739138277,40.875291598976396,62,-1344.58891796334
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.58,0.998,-0.0005,0.0255,1624.8460739138277,40.875291598976396,62,-1344.58891796334
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.58,0.998,-0.0005,0.0265,1624.8460739138277,40.875291598976396,62,-1344.58891796334
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.58,0.9998,-0.001,0.0255,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.58,0.9998,-0.001,0.0265,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.58,0.9998,-0.0005,0.0255,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.58,0.9998,-0.0005,0.0265,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.6,0.998,-0.001,0.0255,1624.8460739138277,40.875291598976396,62,-1344.58891796334
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.6,0.998,-0.001,0.0265,1624.8460739138277,40.875291598976396,62,-1344.58891796334
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.6,0.998,-0.0005,0.0255,1624.8460739138277,40.875291598976396,62,-1344.58891796334
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.6,0.998,-0.0005,0.0265,1624.8460739138277,40.875291598976396,62,-1344.58891796334
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.6,0.9998,-0.001,0.0255,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.6,0.9998,-0.001,0.0265,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.6,0.9998,-0.0005,0.0255,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.6,0.9998,-0.0005,0.0265,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.62,0.998,-0.001,0.0255,1624.8460739138277,40.875291598976396,62,-1344.58891796334
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.62,0.998,-0.001,0.0265,1624.8460739138277,40.875291598976396,62,-1344.58891796334
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.62,0.998,-0.0005,0.0255,1624.8460739138277,40.875291598976396,62,-1344.58891796334
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.62,0.998,-0.0005,0.0265,1624.8460739138277,40.875291598976396,62,-1344.58891796334
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.62,0.9998,-0.001,0.0255,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.62,0.9998,-0.001,0.0265,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.62,0.9998,-0.0005,0.0255,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.62,0.9998,-0.0005,0.0265,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.64,0.998,-0.001,0.0255,1637.8555090970276,40.875291598976396,61,-1331.57948278014
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.64,0.998,-0.001,0.0265,1637.8555090970276,40.875291598976396,61,-1331.57948278014
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.64,0.998,-0.0005,0.0255,1637.8555090970276,40.875291598976396,61,-1331.57948278014
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.64,0.998,-0.0005,0.0265,1637.8555090970276,40.875291598976396,61,-1331.57948278014
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.64,0.9998,-0.001,0.0255,1636.5559266225696,41.0122423194315,61,-1349.3131517092106
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.64,0.9998,-0.001,0.0265,1636.5559266225696,41.0122423194315,61,-1349.3131517092106
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.64,0.9998,-0.0005,0.0255,1636.5559266225696,41.0122423194315,61,-1349.3131517092106
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.64,0.9998,-0.0005,0.0265,1636.5559266225696,41.0122423194315,61,-1349.3131517092106
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.66,0.998,-0.001,0.0255,1637.8555090970276,40.875291598976396,61,-1331.57948278014
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.66,0.998,-0.001,0.0265,1637.8555090970276,40.875291598976396,61,-1331.57948278014
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.66,0.998,-0.0005,0.0255,1637.8555090970276,40.875291598976396,61,-1331.57948278014
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.66,0.998,-0.0005,0.0265,1637.8555090970276,40.875291598976396,61,-1331.57948278014
stage2,88,500,0.021,0.0002,0.01,440,incumbent,16,0.66,0.9998,-0.001,0.0255,1636.5559266225696,41.0122423194315,61,-1349.3131517092106
