round,stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,sell_rule,top_k,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,16,t2_close,3,0.64,1.0,-0.0005,0.0265,0.412,0.287,10,0.065,2297.812050874515,17.469639108895688,63,2137.0553578070326
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,18,t2_close,2,0.62,1.0,-0.0005,0.0265,0.412,0.287,12,0.06,645.4260292867298,48.145334790126185,58,-3196.414145528413
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,15,loss_rebound_t3,3,0.68,0.9998,-0.0005,0.0255,0.412,0.287,12,0.06,1224.9383846022495,21.013699912678955,64,638.8943950807748
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-05-01,17,t2_close,3,0.7,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,1345.8814359600974,24.74340580459751,64,312.27273940839586
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-04-01,17,strong_hold_t3,4,0.64,1.0,-0.0005,0.0265,0.412,0.275,12,0.065,278.5140039643401,32.17202457153737,64,-1646.5289446201446
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,18,t2_close,3,0.64,0.999,-0.0005,0.0265,0.412,0.287,12,0.06,988.2191433226978,24.654622615927668,65,-34.73557058862241
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,15,loss_rebound_t3,3,0.68,0.9998,-0.001,0.0255,0.406,0.287,10,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,14,strong_hold_t3,4,0.66,0.9998,-0.0005,0.0255,0.412,0.275,10,0.065,625.7905254905,31.542077943850032,63,-1223.658827771504
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,18,strong_hold_t3,4,0.7,0.9998,-0.001,0.0255,0.412,0.287,12,0.06,840.0088764842151,28.793321503487356,63,-679.5897039342676
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-04-01,14,strong_hold_t3,2,0.7,0.999,-0.0005,0.0255,0.406,0.287,12,0.065,1181.3297223030092,21.018873096243667,56,594.6649507537692
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-05-01,17,t2_close,2,0.62,1.0,-0.0005,0.0255,0.412,0.275,10,0.065,642.1478006347597,44.90866532515834,56,-2811.292038384241
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,17,t2_close,3,0.64,1.0,-0.001,0.0255,0.406,0.287,12,0.065,871.2374740569825,17.42061203828467,65,716.3640294628219
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-04-01,16,loss_rebound_t3,2,0.68,1.0,-0.0005,0.0255,0.406,0.275,10,0.065,705.7755514906625,42.22716329756581,56,-2425.8840442172345
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,17,loss_rebound_t3,4,0.62,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,364.47154248501033,44.8949511813344,65,-3087.3225992751177
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-04-01,16,loss_rebound_t3,4,0.66,0.9998,-0.001,0.0255,0.412,0.275,10,0.065,469.79400708259027,46.03930387049501,64,-3119.322457376811
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,14,loss_rebound_t3,2,0.66,0.9998,-0.0005,0.0265,0.412,0.275,10,0.065,1222.5357900820293,27.93417352535012,55,-193.96503295998514
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,17,loss_rebound_t3,4,0.64,0.999,-0.0005,0.0265,0.412,0.275,12,0.06,239.53712156511514,46.6230688174468,67,-3419.631136528501
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,16,strong_hold_t3,3,0.7,0.9998,-0.0005,0.0255,0.412,0.287,10,0.065,1353.2165752389296,22.386077150306637,58,602.4873172021331
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,16,strong_hold_t3,4,0.7,0.999,-0.001,0.0255,0.406,0.275,12,0.06,296.76572448015,36.38160750721043,62,-2133.427176385102
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,15,t2_close,3,0.64,0.9998,-0.0005,0.0265,0.406,0.287,12,0.06,1175.1866679788448,37.32412362064628,65,-1368.1081664987094
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,18,t2_close,4,0.62,0.9998,-0.001,0.0255,0.406,0.275,10,0.06,741.7494364203153,31.17382620363473,67,-1063.5097080158523
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,15,t2_close,3,0.64,1.0,-0.001,0.0255,0.406,0.275,10,0.06,2255.41345612727,37.24303394627903,63,-278.15061742621356
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,14,t2_close,4,0.68,0.9998,-0.0005,0.0265,0.412,0.275,12,0.06,788.8553118369897,32.66196802691848,68,-1194.980851393228
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,17,strong_hold_t3,2,0.66,0.9998,-0.0005,0.0255,0.406,0.275,10,0.065,1082.21880832214,20.719589215752617,56,531.4681024318259
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-06-01,17,loss_rebound_t3,3,0.64,0.9998,-0.001,0.0255,0.406,0.275,12,0.06,234.05413829367748,46.08692295594001,63,-3360.776616419124
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,16,t2_close,3,0.64,1.0,-0.0005,0.0265,0.412,0.287,10,0.065,2315.823489463564,17.469639108895688,62,2155.0667963960814
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,18,t2_close,2,0.62,1.0,-0.0005,0.0265,0.412,0.287,12,0.06,546.91695647191,48.12170713684812,58,-3292.087899949865
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,15,loss_rebound_t3,3,0.68,0.9998,-0.0005,0.0255,0.412,0.287,12,0.06,1224.9383846022495,21.013699912678955,64,638.8943950807748
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-05-01,17,t2_close,3,0.7,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,1345.8814359600974,24.74340580459751,64,312.27273940839586
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-04-01,17,strong_hold_t3,4,0.64,1.0,-0.0005,0.0265,0.412,0.275,12,0.065,486.23570726714007,30.396313087519445,63,-1225.7218632351935
1,batch10,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,18,t2_close,3,0.64,0.999,-0.0005,0.0265,0.412,0.287,12,0.06,988.2191433226978,24.654622615927668,65,-34.73557058862241
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,15,loss_rebound_t3,3,0.68,0.9998,-0.001,0.0255,0.406,0.287,10,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,14,strong_hold_t3,4,0.66,0.9998,-0.0005,0.0255,0.412,0.275,10,0.065,625.7905254905,31.542077943850032,63,-1223.658827771504
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,18,strong_hold_t3,4,0.7,0.9998,-0.001,0.0255,0.412,0.287,12,0.06,1065.92263703802,28.71993006289431,63,-444.86897050929724
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,14,strong_hold_t3,2,0.7,0.999,-0.0005,0.0255,0.406,0.287,12,0.065,1181.3297223030092,21.018873096243667,56,594.6649507537692
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-05-01,17,t2_close,2,0.62,1.0,-0.0005,0.0255,0.412,0.275,10,0.065,811.49482677528,44.85533765308594,55,-2635.5456915950326
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,17,t2_close,3,0.64,1.0,-0.001,0.0255,0.406,0.287,12,0.065,1612.7089023684282,17.541082590520894,64,1443.3789915059208
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,16,loss_rebound_t3,2,0.68,1.0,-0.0005,0.0255,0.406,0.275,10,0.065,275.7359188009051,42.258932554584455,56,-2859.7359877492295
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,17,loss_rebound_t3,4,0.62,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,364.47154248501033,44.8949511813344,65,-3087.3225992751177
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,16,loss_rebound_t3,4,0.66,0.9998,-0.001,0.0255,0.412,0.275,10,0.065,469.79400708259027,46.03930387049501,64,-3119.322457376811
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,14,loss_rebound_t3,2,0.66,0.9998,-0.0005,0.0265,0.412,0.275,10,0.065,980.1393063926703,27.93417352535012,55,-436.36151664934414
