seed,score_base_start,alpha,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades
420,2024-01-01,15,0.62,0.998,-0.0005,0.0265,0.412,0.287,10,0.065,-56.30847612999999,68.47390929008357,52
420,2024-01-01,15,0.62,0.998,-0.0005,0.0265,0.406,0.236,10,0.1,-56.66639340999999,68.79380158760605,51
420,2024-01-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-65.82814068999996,69.6909224725484,53
420,2024-01-01,15,0.62,0.9998,-0.001,0.0255,0.406,0.236,10,0.1,-65.99605796999998,69.84100029078878,52
420,2024-01-01,15,0.62,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-56.46847612999998,68.61691095684745,52
420,2024-01-01,15,0.62,0.9998,-0.0005,0.0265,0.406,0.236,10,0.1,-56.826393409999994,68.93680325436992,51
420,2024-01-01,15,0.64,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-65.59847612999998,69.48565737956972,53
420,2024-01-01,15,0.64,0.998,-0.001,0.0255,0.406,0.236,10,0.1,-65.95605796999997,69.80524987409781,52
420,2024-01-01,15,0.64,0.998,-0.0005,0.0265,0.412,0.287,10,0.065,-56.30847612999999,68.47390929008357,52
420,2024-01-01,15,0.64,0.998,-0.0005,0.0265,0.406,0.236,10,0.1,-56.66639340999999,68.79380158760605,51
420,2024-01-01,15,0.64,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-65.82814068999996,69.6909224725484,53
420,2024-01-01,15,0.64,0.9998,-0.001,0.0255,0.406,0.236,10,0.1,-65.99605796999998,69.84100029078878,52
420,2024-01-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-56.46847612999998,68.61691095684745,52
420,2024-01-01,15,0.64,0.9998,-0.0005,0.0265,0.406,0.236,10,0.1,-56.826393409999994,68.93680325436992,51
420,2024-01-01,15,0.66,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-65.59847612999998,69.48565737956972,53
420,2024-01-01,15,0.66,0.998,-0.001,0.0255,0.406,0.236,10,0.1,-65.95605796999997,69.80524987409781,52
420,2024-01-01,15,0.66,0.998,-0.0005,0.0265,0.412,0.287,10,0.065,-56.30847612999999,68.47390929008357,52
420,2024-01-01,15,0.66,0.998,-0.0005,0.0265,0.406,0.236,10,0.1,-56.66639340999999,68.79380158760605,51
420,2024-01-01,15,0.66,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-65.82814068999996,69.6909224725484,53
420,2024-01-01,15,0.66,0.9998,-0.001,0.0255,0.406,0.236,10,0.1,-65.99605796999998,69.84100029078878,52
420,2024-01-01,15,0.66,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-56.46847612999998,68.61691095684745,52
420,2024-01-01,15,0.66,0.9998,-0.0005,0.0265,0.406,0.236,10,0.1,-56.826393409999994,68.93680325436992,51
420,2024-01-01,16,0.58,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-56.41847612999997,64.36261137062196,56
420,2024-01-01,16,0.58,0.998,-0.001,0.0255,0.406,0.236,10,0.1,-66.72605796999999,72.6280337777126,55
420,2024-01-01,16,0.58,0.998,-0.0005,0.0265,0.412,0.287,10,0.065,-53.778811569999974,64.36261137062196,56
420,2024-01-01,16,0.58,0.998,-0.0005,0.0265,0.406,0.236,10,0.1,-64.86605796999999,72.6280337777126,55
420,2024-01-01,16,0.58,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-56.57847612999998,64.50561303738586,56
420,2024-01-01,16,0.58,0.9998,-0.001,0.0255,0.406,0.236,10,0.1,-66.38605797,72.32415523583936,55
420,2024-01-01,16,0.58,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-53.93881156999998,64.50561303738586,56
420,2024-01-01,16,0.58,0.9998,-0.0005,0.0265,0.406,0.236,10,0.1,-64.67605796999999,72.32415523583936,55
420,2024-01-01,16,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-56.41847612999997,64.36261137062196,56
